iter	Passed	Remaining
482	599	641
483	600	639
484	601	638
485	602	636
486	603	635
487	604	634
488	605	633
489	607	631
490	608	630
491	609	628
492	610	627
493	611	626
494	612	625
495	613	623
496	614	622
497	615	620
498	617	619
499	618	618
500	619	617
501	621	616
502	621	614
503	622	613
504	623	611
505	624	609
506	625	608
507	626	606
508	627	605
509	628	603
510	629	602
511	630	600
512	631	599
513	632	598
514	633	596
515	634	595
516	636	594
517	637	592
518	638	591
519	639	590
520	640	588
521	641	587
522	642	586
523	643	584
524	645	583
525	646	582
526	647	580
527	648	579
528	649	578
529	650	576
530	651	575
531	652	574
532	653	572
533	655	571
534	655	570
535	657	568
536	659	568
537	660	566
538	661	565
539	662	564
540	663	562
541	664	561
542	666	560
543	667	559
544	668	558
545	669	556
546	670	555
547	672	554
548	673	553
549	675	552
550	676	551
551	677	549
552	678	548
553	679	546
554	680	545
555	684	546
556	687	547
557	689	546
558	691	545
559	693	544
560	694	543
561	696	543
562	699	542
563	700	541
564	701	540
565	712	546
566	715	546
567	718	546
568	720	545
569	721	544
570	724	544
571	730	546
572	732	545
573	733	544
574	734	543
575	736	542
576	739	542
577	743	542
578	745	542
579	747	541
580	749	540
581	751	539
582	752	538
583	754	537
584	756	536
585	758	535
586	759	534
587	760	532
588	762	531
589	765	531
590	766	530
591	767	529
592	769	528
593	770	526
594	772	525
595	773	524
596	775	523
597	777	522
598	778	521
599	780	520
600	781	518
601	782	517
602	785	516
603	786	515
604	787	514
605	789	513
606	789	511
607	791	510
608	793	509
609	795	508
610	796	506
611	797	505
612	798	504
613	800	503
614	802	502
615	804	501
616	806	500
617	807	499
618	809	498
619	811	497
620	813	496
621	814	495
622	816	493
623	817	492
624	818	491
625	820	490
626	822	489
627	824	488
628	825	486
629	826	485
630	827	483
631	829	483
632	831	482
633	832	480
634	833	479
635	835	478
636	836	476
637	838	475
638	840	474
639	841	473
640	842	471
641	843	470
642	845	469
643	846	468
644	847	466
645	849	465
646	850	464
647	852	462
648	854	462
649	856	461
650	858	459
651	859	458
652	860	457
653	861	456
654	863	454
655	864	453
656	865	451
657	866	450
658	867	449
659	869	447
660	870	446
661	871	444
662	872	443
663	873	442
664	875	441
665	876	439
666	878	438
667	879	436
668	880	435
669	882	434
670	884	433
671	885	432
672	886	430
673	887	429
674	889	428
675	890	426
676	891	425
677	893	424
678	894	422
679	895	421
680	897	420
681	898	418
682	899	417
683	900	416
684	902	414
685	904	413
686	905	412
687	906	411
688	907	409
689	909	408
690	911	407
691	912	406
692	913	404
693	915	403
694	917	402
695	918	401
696	920	400
697	921	398
698	922	397
699	924	396
700	925	394
701	932	395
702	933	394
703	935	393
704	936	391
705	937	390
706	941	390
707	942	388
708	943	387
709	945	386
710	947	385
711	949	384
712	950	382
713	951	381
714	952	379
715	955	378
716	957	377
717	959	376
718	960	375
719	962	374
720	965	373
721	967	372
722	970	371
723	973	370
724	975	369
725	976	368
726	978	367
727	980	366
728	981	364
729	982	363
730	983	361
731	985	360
732	986	359
733	987	358
734	989	356
735	990	355
736	991	353
737	993	352
738	994	351
739	995	349
740	997	348
741	1000	347
742	1001	346
743	1002	344
744	1003	343
745	1004	342
746	1006	340
747	1007	339
748	1008	338
749	1009	336
750	1010	335
751	1012	333
752	1013	332
753	1015	331
754	1016	329
755	1017	328
756	1018	327
757	1020	325
758	1023	324
759	1024	323
760	1025	322
761	1026	320
762	1028	319
763	1030	318
764	1031	316
765	1032	315
766	1033	314
767	1035	312
768	1036	311
769	1038	310
770	1039	308
771	1040	307
772	1042	306
773	1044	304
774	1046	303
775	1047	302
776	1048	301
777	1050	299
778	1051	298
779	1053	297
780	1054	295
781	1055	294
782	1057	292
783	1058	291
784	1059	290
785	1060	288
786	1062	287
787	1063	286
788	1065	284
789	1066	283
790	1067	282
791	1068	280
792	1069	279
793	1071	277
794	1072	276
795	1074	275
796	1075	273
797	1076	272
798	1077	271
799	1079	269
800	1080	268
801	1082	267
802	1083	265
803	1084	264
804	1085	263
805	1087	261
806	1088	260
807	1089	258
808	1090	257
809	1092	256
810	1093	254
811	1095	253
812	1096	252
813	1097	250
814	1099	249
815	1100	248
816	1101	246
817	1103	245
818	1104	244
819	1105	242
820	1107	241
821	1108	240
822	1110	238
823	1111	237
824	1113	236
825	1114	234
826	1116	233
827	1118	232
828	1119	230
829	1120	229
830	1121	228
831	1122	226
832	1124	225
833	1125	223
834	1126	222
835	1127	221
836	1129	219
837	1130	218
838	1131	217
839	1132	215
840	1134	214
841	1135	213
842	1137	211
843	1138	210
844	1140	209
845	1141	207
846	1142	206
847	1143	205
848	1145	203
849	1146	202
850	1148	201
851	1149	199
852	1150	198
853	1152	196
854	1153	195
855	1154	194
856	1155	192
857	1157	191
858	1158	190
859	1160	188
860	1161	187
861	1162	186
862	1164	184
863	1165	183
864	1166	182
865	1169	180
866	1170	179
867	1171	178
868	1172	176
869	1174	175
870	1176	174
871	1177	172
872	1178	171
873	1180	170
874	1181	168
875	1183	167
876	1185	166
877	1186	164
878	1187	163
879	1187	161
880	1189	160
881	1190	159
882	1192	157
883	1193	156
884	1194	155
885	1196	153
886	1198	152
887	1200	151
888	1201	149
889	1202	148
890	1204	147
891	1205	146
892	1207	144
893	1208	143
894	1210	141
895	1211	140
896	1213	139
897	1214	137
898	1215	136
899	1217	135
900	1218	133
901	1220	132
902	1221	131
903	1223	129
904	1224	128
905	1226	127
906	1228	125
907	1229	124
908	1230	123
909	1232	121
910	1233	120
911	1235	119
912	1237	117
913	1238	116
914	1239	115
915	1240	113
916	1242	112
917	1243	111
918	1245	109
919	1246	108
920	1247	106
921	1248	105
922	1250	104
923	1252	103
924	1253	101
925	1254	100
926	1256	98
927	1257	97
928	1259	96
929	1260	94
930	1261	93
931	1263	92
932	1265	90
933	1267	89
934	1268	88
935	1269	86
936	1271	85
937	1272	84
938	1274	82
939	1275	81
940	1276	80
941	1278	78
942	1281	77
943	1282	76
944	1283	74
945	1286	73
946	1287	72
947	1289	70
948	1290	69
949	1291	67
950	1293	66
951	1303	65
952	1305	64
953	1306	63
954	1307	61
955	1309	60
956	1310	58
957	1311	57
958	1313	56
959	1314	54
960	1315	53
961	1316	52
962	1318	50
963	1319	49
964	1320	47
965	1321	46
966	1323	45
967	1325	43
968	1326	42
969	1327	41
970	1328	39
971	1329	38
972	1331	36
973	1333	35
974	1334	34
975	1335	32
976	1337	31
977	1339	30
978	1340	28
979	1342	27
980	1343	26
981	1344	24
982	1345	23
983	1347	21
984	1348	20
985	1349	19
986	1350	17
987	1351	16
