iter	Passed	Remaining
482	621	664
483	622	663
484	623	661
485	624	660
486	625	658
487	626	657
488	627	655
489	628	654
490	629	652
491	630	651
492	631	649
493	632	647
494	633	646
495	634	644
496	635	643
497	636	641
498	637	640
499	638	638
500	639	637
501	640	635
502	641	634
503	643	632
504	644	631
505	645	630
506	646	628
507	647	627
508	648	625
509	649	624
510	650	622
511	651	621
512	653	620
513	654	618
514	655	616
515	656	615
516	657	614
517	658	612
518	659	610
519	660	609
520	661	608
521	662	606
522	663	605
523	664	603
524	665	602
525	666	600
526	667	599
527	668	597
528	669	596
529	670	594
530	671	593
531	672	591
532	673	590
533	674	588
534	675	587
535	676	585
536	678	584
537	679	583
538	680	582
539	681	580
540	682	579
541	684	578
542	685	576
543	686	575
544	687	573
545	688	572
546	689	570
547	690	569
548	691	567
549	692	566
550	693	564
551	694	563
552	695	562
553	696	560
554	697	559
555	698	557
556	699	556
557	700	555
558	701	553
559	702	552
560	704	550
561	705	549
562	706	548
563	707	546
564	708	545
565	709	544
566	710	542
567	711	541
568	712	540
569	714	538
570	715	537
571	716	535
572	717	534
573	718	533
574	719	532
575	720	530
576	721	529
577	722	527
578	723	526
579	724	524
580	725	523
581	726	521
582	727	520
583	728	519
584	730	518
585	731	516
586	732	515
587	734	514
588	735	512
589	736	511
590	737	510
591	738	508
592	739	507
593	740	506
594	741	504
595	742	503
596	743	501
597	744	500
598	745	499
599	746	497
600	747	496
601	748	494
602	749	493
603	750	492
604	751	490
605	753	489
606	754	488
607	755	487
608	756	485
609	757	484
610	759	483
611	760	481
612	760	480
613	762	479
614	763	477
615	764	476
616	765	475
617	767	474
618	768	472
619	769	471
620	770	470
621	771	468
622	772	467
623	773	466
624	774	464
625	775	463
626	776	461
627	777	460
628	778	459
629	779	457
630	780	456
631	782	455
632	783	454
633	784	452
634	785	451
635	787	450
636	788	449
637	789	447
638	790	446
639	791	445
640	792	443
641	793	442
642	795	441
643	797	440
644	798	439
645	799	438
646	800	436
647	801	435
648	802	434
649	803	432
650	804	431
651	805	430
652	806	428
653	807	427
654	809	426
655	810	424
656	811	423
657	812	422
658	813	421
659	814	419
660	816	418
661	817	417
662	818	416
663	819	414
664	820	413
665	822	412
666	823	411
667	824	409
668	825	408
669	827	407
670	828	406
671	829	404
672	830	403
673	831	402
674	832	401
675	833	399
676	835	398
677	836	397
678	837	395
679	838	394
680	839	393
681	840	391
682	841	390
683	842	389
684	843	388
685	844	386
686	845	385
687	847	384
688	848	382
689	849	381
690	850	380
691	851	379
692	852	377
693	853	376
694	855	375
695	856	373
696	857	372
697	858	371
698	859	369
699	860	368
700	861	367
701	862	366
702	863	364
703	864	363
704	866	362
705	867	361
706	869	360
707	870	359
708	871	357
709	873	356
710	874	355
711	875	354
712	876	352
713	877	351
714	878	350
715	880	349
716	881	347
717	882	346
718	883	345
719	884	344
720	886	342
721	887	341
722	888	340
723	889	339
724	890	337
725	891	336
726	892	335
727	894	334
728	895	333
729	897	331
730	898	330
731	899	329
732	900	328
733	901	326
734	902	325
735	903	324
736	904	322
737	905	321
738	907	320
739	908	319
740	909	317
741	910	316
742	911	315
743	912	314
744	913	312
745	915	311
746	916	310
747	917	309
748	918	307
749	919	306
750	920	305
751	921	303
752	923	302
753	924	301
754	925	300
755	926	298
756	927	297
757	928	296
758	929	295
759	930	293
760	932	292
761	933	291
762	934	290
763	935	288
764	936	287
765	937	286
766	938	285
767	939	283
768	941	282
769	941	281
770	943	280
771	944	279
772	945	277
773	946	276
774	948	275
775	949	273
776	950	272
777	951	271
778	952	270
779	953	268
780	954	267
781	954	266
782	956	264
783	957	263
784	958	262
785	959	261
786	960	259
787	961	258
788	962	257
789	963	256
790	964	254
791	965	253
792	966	252
793	968	251
794	968	249
795	969	248
796	970	247
797	971	246
798	972	244
799	973	243
800	974	242
801	975	240
802	976	239
803	977	238
804	978	237
805	979	235
806	980	234
807	982	233
808	983	232
809	984	230
810	985	229
811	985	228
812	987	227
813	988	225
814	989	224
815	989	223
816	991	221
817	991	220
818	992	219
819	993	218
820	995	216
821	996	215
822	997	214
823	998	213
824	999	211
825	1000	210
826	1001	209
827	1002	208
828	1003	207
829	1004	205
830	1005	204
831	1006	203
832	1007	202
833	1008	200
834	1009	199
835	1010	198
836	1011	197
837	1012	195
838	1013	194
839	1014	193
840	1015	192
841	1016	190
842	1017	189
843	1018	188
844	1019	186
845	1020	185
846	1021	184
847	1022	183
848	1023	181
849	1024	180
850	1025	179
851	1026	178
852	1027	177
853	1028	175
854	1029	174
855	1030	173
856	1031	172
857	1032	170
858	1033	169
859	1034	168
860	1035	167
861	1036	165
862	1037	164
863	1038	163
864	1039	162
865	1040	161
866	1041	159
867	1042	158
868	1043	157
869	1044	156
870	1046	154
871	1047	153
872	1047	152
873	1049	151
874	1049	149
875	1050	148
876	1051	147
877	1053	146
878	1054	145
879	1055	143
880	1056	142
881	1057	141
882	1058	140
883	1059	138
